ccode,pcode,name,lang1,lang2,com_lang
AFG,KIR,Afghanistan,Persian,English,0
AFG,KNA,Afghanistan,Persian,English,0
AFG,KOR,Afghanistan,Persian,Korean,0
AFG,KWT,Afghanistan,Persian,Arabic,0
AFG,LAO,Afghanistan,Persian,,0
AFG,LBN,Afghanistan,Persian,Arabic,0
AFG,LBR,Afghanistan,Persian,English,0
AFG,LBY,Afghanistan,Persian,Arabic,0
AFG,LCA,Afghanistan,Persian,Spanish,0
AFG,LIE,Afghanistan,Persian,German,0
AFG,LKA,Afghanistan,Persian,,0
AFG,LSO,Afghanistan,Persian,,0
AFG,LTU,Afghanistan,Persian,15,0
AFG,LUX,Afghanistan,Persian,French,0
AFG,LVA,Afghanistan,Persian,15,0
AFG,MAC,Afghanistan,Persian,Portuguese,0
AFG,MAR,Afghanistan,Persian,Arabic,0
AFG,MCO,Afghanistan,Persian,French,0
AFG,MDA,Afghanistan,Persian,15,0
AFG,MDG,Afghanistan,Persian,French,0
AFG,MDV,Afghanistan,Persian,English,0
AFG,MEX,Afghanistan,Persian,Spanish,0
AFG,MHL,Afghanistan,Persian,English,0
AFG,MKD,Afghanistan,Persian,,0
AFG,MLI,Afghanistan,Persian,French,0
AFG,MLT,Afghanistan,Persian,English,0
AFG,MMR,Afghanistan,Persian,Burmese,0
AFG,MNG,Afghanistan,Persian,,0
AFG,MNP,Afghanistan,Persian,English,0
AFG,MOZ,Afghanistan,Persian,Portuguese,0
AFG,MRT,Afghanistan,Persian,Arabic,0
AFG,MSR,Afghanistan,Persian,French,0
AFG,MTQ,Afghanistan,Persian,French,0
AFG,MUS,Afghanistan,Persian,English,0
AFG,MWI,Afghanistan,Persian,English,0
AFG,MYS,Afghanistan,Persian,Malay,0
AFG,MYT,Afghanistan,Persian,French,0
AFG,NAM,Afghanistan,Persian,,0
AFG,NCL,Afghanistan,Persian,French,0
AFG,NER,Afghanistan,Persian,French,0
AFG,NFK,Afghanistan,Persian,English,0
AFG,NGA,Afghanistan,Persian,English,0
AFG,NIC,Afghanistan,Persian,Spanish,0
AFG,NIU,Afghanistan,Persian,,0
AFG,NLD,Afghanistan,Persian,Dutch,0
AFG,NOR,Afghanistan,Persian,,0
AFG,NPL,Afghanistan,Persian,,0
AFG,NRU,Afghanistan,Persian,,0
AFG,NTZ,Afghanistan,Persian,,0
AFG,NZL,Afghanistan,Persian,English,0
AFG,OMN,Afghanistan,Persian,Arabic,0
AFG,PAK,Afghanistan,Persian,,0
AFG,PAN,Afghanistan,Persian,Spanish,0
AFG,PCN,Afghanistan,Persian,,0
AFG,PER,Afghanistan,Persian,Spanish,0
AFG,PHL,Afghanistan,Persian,English,0
AFG,PLW,Afghanistan,Persian,English,0
AFG,PNG,Afghanistan,Persian,,0
AFG,POL,Afghanistan,Persian,,0
AFG,PRI,Afghanistan,Persian,English,0
AFG,PRK,Afghanistan,Persian,Korean,0
AFG,PRT,Afghanistan,Persian,Portuguese,0
AFG,PRY,Afghanistan,Persian,Spanish,0
AFG,PYF,Afghanistan,Persian,French,0
AFG,QAT,Afghanistan,Persian,Arabic,0
AFG,REU,Afghanistan,Persian,French,0
AFG,ROM,Afghanistan,Persian,,0
AFG,RUS,Afghanistan,Persian,15,0
AFG,RWA,Afghanistan,Persian,French,0
AFG,SAU,Afghanistan,Persian,Arabic,0
AFG,SDN,Afghanistan,Persian,Arabic,0
AFG,SEN,Afghanistan,Persian,French,0
AFG,SGP,Afghanistan,Persian,Malay,0
AFG,SGS,Afghanistan,Persian,English,0
AFG,SHN,Afghanistan,Persian,English,0
AFG,SJM,Afghanistan,Persian,English,0
AFG,SLB,Afghanistan,Persian,English,0
AFG,SLE,Afghanistan,Persian,English,0
AFG,SLV,Afghanistan,Persian,Spanish,0
AFG,SMR,Afghanistan,Persian,,0
AFG,SOM,Afghanistan,Persian,,0
AFG,SPM,Afghanistan,Persian,Spanish,0
AFG,STP,Afghanistan,Persian,Portuguese,0
AFG,SUN,Afghanistan,Persian,15,0
AFG,SUR,Afghanistan,Persian,Dutch,0
AFG,SVK,Afghanistan,Persian,,0
AFG,SVN,Afghanistan,Persian,,0
AFG,SWE,Afghanistan,Persian,Swedish,0
AFG,SWZ,Afghanistan,Persian,English,0
AFG,SYC,Afghanistan,Persian,English,0
AFG,SYR,Afghanistan,Persian,Arabic,0
AFG,TCA,Afghanistan,Persian,,0
AFG,TCD,Afghanistan,Persian,French,0
AFG,TGO,Afghanistan,Persian,French,0
AFG,THA,Afghanistan,Persian,,0
AFG,TJK,Afghanistan,Persian,15,0
AFG,TKL,Afghanistan,Persian,,0
AFG,TKM,Afghanistan,Persian,15,0
AFG,TMP,Afghanistan,Persian,,0
AFG,TON,Afghanistan,Persian,,0
AFG,TTO,Afghanistan,Persian,English,0
AFG,TUN,Afghanistan,Persian,Arabic,0
AFG,TUR,Afghanistan,Persian,,0
AFG,TUV,Afghanistan,Persian,,0
AFG,TWN,Afghanistan,Persian,Chinese,0
AFG,TZA,Afghanistan,Persian,,0
AFG,UGA,Afghanistan,Persian,English,0
AFG,UKR,Afghanistan,Persian,15,0
AFG,UMI,Afghanistan,Persian,English,0
AFG,URY,Afghanistan,Persian,Spanish,0
AFG,USA,Afghanistan,Persian,English,0
AFG,UZB,Afghanistan,Persian,15,0
AFG,VAT,Afghanistan,Persian,,0
AFG,VCT,Afghanistan,Persian,English,0
AFG,VEN,Afghanistan,Persian,Spanish,0
AFG,VGB,Afghanistan,Persian,English,0
AFG,VIR,Afghanistan,Persian,English,0
AFG,VNM,Afghanistan,Persian,,0
AFG,VUT,Afghanistan,Persian,,0
AFG,WLF,Afghanistan,Persian,,0
AFG,WSM,Afghanistan,Persian,,0
AFG,YEM,Afghanistan,Persian,Arabic,0
AFG,YMD,Afghanistan,Persian,,0
AFG,YUG,Afghanistan,Persian,,0
AFG,ZAF,Afghanistan,Persian,English,0
AFG,ZAR,Afghanistan,Persian,French,0
AFG,ZMB,Afghanistan,Persian,English,0
AFG,ZWE,Afghanistan,Persian,English,0
AGO,ABW,Angola,Portuguese,,0
AGO,AFG,Angola,Portuguese,Persian,0
AGO,AGO,Angola,Portuguese,Portuguese,1
AGO,AIA,Angola,Portuguese,Spanish,0
AGO,ALB,Angola,Portuguese,,0
AGO,AND,Angola,Portuguese,Spanish,0
AGO,ANT,Angola,Portuguese,,0
AGO,ARE,Angola,Portuguese,Arabic,0
AGO,ARG,Angola,Portuguese,Spanish,0
AGO,ARM,Angola,Portuguese,15,0
AGO,ASM,Angola,Portuguese,English,0
AGO,ATA,Angola,Portuguese,,0
AGO,ATF,Angola,Portuguese,French,0
AGO,ATG,Angola,Portuguese,Spanish,0
AGO,AUS,Angola,Portuguese,English,0
AGO,AUT,Angola,Portuguese,German,0
AGO,AZE,Angola,Portuguese,15,0
AGO,BDI,Angola,Portuguese,French,0
AGO,BEL,Angola,Portuguese,French,0
AGO,BEN,Angola,Portuguese,French,0
AGO,BFA,Angola,Portuguese,French,0
AGO,BGD,Angola,Portuguese,,0
AGO,BGR,Angola,Portuguese,,0
AGO,BHR,Angola,Portuguese,Arabic,0
AGO,BHS,Angola,Portuguese,English,0
AGO,BIH,Angola,Portuguese,,0
AGO,BLR,Angola,Portuguese,15,0
AGO,BLZ,Angola,Portuguese,English,0
AGO,BMU,Angola,Portuguese,English,0
AGO,BOL,Angola,Portuguese,Spanish,0
AGO,BRA,Angola,Portuguese,Portuguese,1
AGO,BRB,Angola,Portuguese,English,0
AGO,BRN,Angola,Portuguese,Malay,0
AGO,BTN,Angola,Portuguese,Burmese,0
AGO,BUR,Angola,Portuguese,,0
AGO,BVT,Angola,Portuguese,,0
AGO,BWA,Angola,Portuguese,,0
AGO,BYS,Angola,Portuguese,15,0
AGO,CAF,Angola,Portuguese,French,0
AGO,CAN,Angola,Portuguese,English,0
AGO,CCK,Angola,Portuguese,English,0
AGO,CHE,Angola,Portuguese,German,0
AGO,CHL,Angola,Portuguese,Spanish,0
AGO,CHN,Angola,Portuguese,Chinese,0
AGO,CIV,Angola,Portuguese,French,0
AGO,CMR,Angola,Portuguese,French,0
AGO,COG,Angola,Portuguese,French,0
AGO,COK,Angola,Portuguese,English,0
AGO,COL,Angola,Portuguese,Spanish,0
AGO,COM,Angola,Portuguese,Arabic,0
AGO,CPV,Angola,Portuguese,Portuguese,1
AGO,CRI,Angola,Portuguese,Spanish,0
AGO,CSK,Angola,Portuguese,,0
AGO,CUB,Angola,Portuguese,Spanish,0
AGO,CXR,Angola,Portuguese,English,0
AGO,CYM,Angola,Portuguese,English,0
AGO,CYP,Angola,Portuguese,Greek,0
AGO,CZE,Angola,Portuguese,,0
AGO,DDR,Angola,Portuguese,German,0
AGO,DEU,Angola,Portuguese,German,0
AGO,DJI,Angola,Portuguese,French,0
AGO,DMA,Angola,Portuguese,Spanish,0
AGO,DNK,Angola,Portuguese,,0
AGO,DOM,Angola,Portuguese,Spanish,0
AGO,DZA,Angola,Portuguese,Arabic,0
AGO,ECU,Angola,Portuguese,Spanish,0
AGO,EGY,Angola,Portuguese,Arabic,0
AGO,ERI,Angola,Portuguese,,0
AGO,ESH,Angola,Portuguese,Arabic,0
AGO,ESP,Angola,Portuguese,Spanish,0
AGO,EST,Angola,Portuguese,15,0
AGO,ETH,Angola,Portuguese,,0
AGO,FIN,Angola,Portuguese,Swedish,0
AGO,FJI,Angola,Portuguese,English,0
AGO,FLK,Angola,Portuguese,English,0
AGO,FRA,Angola,Portuguese,French,0
AGO,FRO,Angola,Portuguese,English,0
AGO,FSM,Angola,Portuguese,,0
AGO,FXX,Angola,Portuguese,French,0
AGO,GAB,Angola,Portuguese,French,0
AGO,GBR,Angola,Portuguese,English,0
AGO,GEO,Angola,Portuguese,15,0
AGO,GHA,Angola,Portuguese,English,0
AGO,GIB,Angola,Portuguese,English,0
AGO,GIN,Angola,Portuguese,French,0
