ccode,pcode,km
AFG,VEN,13221
AFG,VNM,3859
AFG,VUT,11952
AFG,YDR,3283
AFG,YEM,3283
AFG,YUG,4285
AFG,ZAF,9238
AFG,ZAR,7090
AFG,ZMB,7027
AFG,ZWE,7071
AGO,ABW,9497
AGO,AFG,7580
AGO,AGO,
AGO,ALB,5592
AGO,AND,5786
AGO,ARE,5768
AGO,ARG,7790
AGO,ARM,6309
AGO,AUS,13335
AGO,AUT,6315
AGO,AZE,6624
AGO,BDI,1883
AGO,BEN,2038
AGO,BFA,2975
AGO,BGD,9126
AGO,BGR,5761
AGO,BHR,5599
AGO,BHS,10460
AGO,BIH,5855
AGO,BLR,7082
AGO,BLX,6629
AGO,BLZ,11504
AGO,BMU,7117
AGO,BOL,8832
AGO,BRA,6640
AGO,BRN,11353
AGO,BTN,9145
AGO,BWA,2213
AGO,CAF,1534
AGO,CAN,10586
AGO,CHE,6226
AGO,CHL,8909
AGO,CHN,11751
AGO,CIV,2375
AGO,CMR,1353
AGO,COG,533
AGO,COL,9898
AGO,CRI,14507
AGO,CSK,6524
AGO,CUB,10944
AGO,CYP,5308
AGO,CZE,6524
AGO,DDR,6775
AGO,DEU,6775
AGO,DJI,4007
AGO,DMA,8641
AGO,DNK,7118
AGO,DOM,9561
AGO,DZA,5124
AGO,ECU,10182
AGO,EGY,4705
AGO,ERI,3891
AGO,ESP,5692
AGO,EST,7637
AGO,ETH,3424
AGO,FIN,7711
AGO,FJI,16670
AGO,FRA,6442
AGO,GAB,1071
AGO,GBR,6782
AGO,GEO,6458
AGO,GER,6775
AGO,GHA,2134
AGO,GIN,3554
AGO,GMB,4096
AGO,GNB,3936
AGO,GRC,5289
AGO,GRD,8602
AGO,GTM,11702
AGO,GUF,7400
AGO,GUY,3906
AGO,HKG,11510
AGO,HND,11357
AGO,HRV,6055
AGO,HTI,9836
AGO,HUN,6243
AGO,IDN,10286
AGO,IND,8003
AGO,IRL,7112
AGO,IRN,6318
AGO,IRQ,5695
AGO,ISL,8595
AGO,ISR,5031
